seed,scenario_family,decision_date,budget,policy_kind,latency_days,policy_value,fresh_policy_value,stale_regret,relative_loss,target_overlap,missed_at_risk,window_miss_rate,selected_customers,partial_reopt_policy_value,partial_reopt_stale_regret,partial_reopt_relative_loss,partial_reopt_target_overlap,partial_reopt_missed_at_risk,partial_reopt_window_miss_rate,partial_reopt_selected_customers,partial_reopt_regret_recovery_ratio,partial_reopt_full_refresh_value_ratio,partial_reopt_optimization_call_ratio,partial_reopt_target_overlap_recovery,partial_reopt_missed_at_risk_recovery,partial_reopt_window_miss_rate_recovery,random_refresh_policy_value,random_refresh_stale_regret,random_refresh_relative_loss,random_refresh_target_overlap,random_refresh_missed_at_risk,random_refresh_window_miss_rate,random_refresh_selected_customers,random_refresh_full_refresh_value_ratio,random_refresh_optimization_call_ratio,random_refresh_target_overlap_recovery,random_refresh_missed_at_risk_recovery,random_refresh_window_miss_rate_recovery,top_risk_refresh_policy_value,top_risk_refresh_stale_regret,top_risk_refresh_relative_loss,top_risk_refresh_target_overlap,top_risk_refresh_missed_at_risk,top_risk_refresh_window_miss_rate,top_risk_refresh_selected_customers,top_risk_refresh_full_refresh_value_ratio,top_risk_refresh_optimization_call_ratio,top_risk_refresh_target_overlap_recovery,top_risk_refresh_missed_at_risk_recovery,top_risk_refresh_window_miss_rate_recovery,top_value_refresh_policy_value,top_value_refresh_stale_regret,top_value_refresh_relative_loss,top_value_refresh_target_overlap,top_value_refresh_missed_at_risk,top_value_refresh_window_miss_rate,top_value_refresh_selected_customers,top_value_refresh_full_refresh_value_ratio,top_value_refresh_optimization_call_ratio,top_value_refresh_target_overlap_recovery,top_value_refresh_missed_at_risk_recovery,top_value_refresh_window_miss_rate_recovery
141,complaint-heavy,2023-03-26,220000,base-stale,0,370558.713763,370558.713763,0.0,0.0,1.0,0.0,0.0,36,370558.713763,0.0,0.0,1.0,0.0,0.0,36.0,0.0,1.0,0.024894,0.0,0.0,0.0,370558.713763,0.0,0.0,1.0,0.0,0.0,36.0,1.0,0.024894,0.0,0.0,0.0,370558.713763,0.0,0.0,1.0,0.0,0.0,36.0,1.0,0.024894,0.0,0.0,0.0,370558.713763,0.0,0.0,1.0,0.0,0.0,36.0,1.0,0.024894,0.0,0.0,0.0
141,complaint-heavy,2023-03-26,390000,base-stale,0,566052.932723,566052.932723,0.0,0.0,1.0,0.0,0.0,78,566052.932723,0.0,0.0,1.0,0.0,0.0,78.0,0.0,1.0,0.024894,0.0,0.0,0.0,566052.932723,0.0,0.0,1.0,0.0,0.0,78.0,1.0,0.024894,0.0,0.0,0.0,566052.932723,0.0,0.0,1.0,0.0,0.0,78.0,1.0,0.024894,0.0,0.0,0.0,566052.932723,0.0,0.0,1.0,0.0,0.0,78.0,1.0,0.024894,0.0,0.0,0.0
141,complaint-heavy,2023-03-26,560000,base-stale,0,752907.043098,752907.043098,0.0,0.0,1.0,0.0,0.0,116,752907.043098,0.0,0.0,1.0,0.0,0.0,116.0,0.0,1.0,0.024894,0.0,0.0,0.0,752907.043098,0.0,0.0,1.0,0.0,0.0,116.0,1.0,0.024894,0.0,0.0,0.0,752907.043098,0.0,0.0,1.0,0.0,0.0,116.0,1.0,0.024894,0.0,0.0,0.0,752907.043098,0.0,0.0,1.0,0.0,0.0,116.0,1.0,0.024894,0.0,0.0,0.0
141,complaint-heavy,2023-03-26,220000,base-stale,1,363439.035868,370558.713763,7119.677895,0.019213,0.888889,0.111111,0.0,36,363230.078502,7328.635261,0.019777,0.888889,0.111111,0.0,36.0,-0.029349,0.980223,0.04918,0.0,0.0,0.0,363487.854629,7070.859134,0.019082,0.888889,0.111111,0.0,36.0,0.980918,0.04918,0.0,0.0,0.0,363421.436367,7137.277396,0.019261,0.944444,0.0,0.0,36.0,0.980739,0.04918,0.499995,1.0,0.0,369918.714911,639.998852,0.001727,0.944444,0.111111,0.0,36.0,0.998273,0.04918,0.499995,0.0,0.0
141,complaint-heavy,2023-03-26,390000,base-stale,1,561400.096599,566052.932723,4652.836124,0.00822,0.948718,0.068182,0.0,79,561122.440864,4930.491859,0.00871,0.961538,0.045455,0.0,79.0,-0.059675,0.99129,0.04918,0.24999,0.333328,0.0,561195.497941,4857.434782,0.008581,0.948718,0.068182,0.0,79.0,0.991419,0.04918,0.0,0.0,0.0,561384.473469,4668.459254,0.008247,0.948718,0.068182,0.0,79.0,0.991753,0.04918,0.0,0.0,0.0,564538.991708,1513.941015,0.002675,0.948718,0.090909,0.0,78.0,0.997325,0.04918,0.0,-0.333328,0.0
141,complaint-heavy,2023-03-26,560000,base-stale,1,750009.911303,752907.043098,2897.131795,0.003848,0.939655,0.065574,0.0,119,749646.858421,3260.184677,0.00433,0.948276,0.04918,0.0,119.0,-0.125315,0.99567,0.04918,0.142862,0.250008,0.0,750078.579198,2828.4639,0.003757,0.939655,0.065574,0.0,119.0,0.996243,0.04918,0.0,0.0,0.0,749995.615668,2911.42743,0.003867,0.939655,0.065574,0.0,119.0,0.996133,0.04918,0.0,0.0,0.0,750742.911055,2164.132043,0.002874,0.956897,0.065574,0.0,119.0,0.997126,0.04918,0.285724,0.0,0.0
141,complaint-heavy,2023-03-26,220000,base-stale,3,372376.980967,370558.713763,-1818.267204,-0.004907,0.888889,0.166667,0.0,35,358406.023429,12152.690334,0.032796,0.916667,0.055556,0.0,36.0,-7.683666,0.967204,0.061931,0.250002,0.666665,0.0,365552.868652,5005.845111,0.013509,0.916667,0.111111,0.0,35.0,0.986491,0.061931,0.250002,0.333335,0.0,357061.641355,13497.072408,0.036424,0.916667,0.055556,0.0,36.0,0.963576,0.061931,0.250002,0.666665,0.0,368483.537588,2075.176175,0.0056,0.916667,0.166667,0.0,36.0,0.9944,0.061931,0.250002,0.0,0.0
141,complaint-heavy,2023-03-26,220000,stronger-but-stale,3,315762.61902,370558.713763,54796.094743,0.147874,0.75,0.111111,0.0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,complaint-heavy,2023-03-26,220000,weaker-but-fresh,0,421538.934786,370558.713763,-50980.221023,-0.137577,0.527778,0.944444,0.0,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,complaint-heavy,2023-03-26,390000,base-stale,3,555103.39422,566052.932723,10949.538503,0.019344,0.884615,0.136364,0.0,75,548675.943882,17376.988841,0.030699,0.910256,0.068182,0.0,76.0,-0.587007,0.969301,0.061931,0.222221,0.5,0.0,554756.187545,11296.745178,0.019957,0.897436,0.113636,0.0,75.0,0.980043,0.061931,0.111115,0.166672,0.0,562710.736,3342.196723,0.005904,0.910256,0.113636,0.0,75.0,0.994096,0.061931,0.222221,0.166672,0.0,564683.975735,1368.956988,0.002418,0.923077,0.136364,0.0,78.0,0.997582,0.061931,0.333336,0.0,0.0
