scenario_family,budget,policy_kind,latency_days,block_count,policy_value_mean,policy_value_ci_low,policy_value_ci_high,stale_regret_mean,stale_regret_ci_low,stale_regret_ci_high,relative_loss_mean,relative_loss_ci_low,relative_loss_ci_high,target_overlap_mean,target_overlap_ci_low,target_overlap_ci_high,missed_at_risk_mean,missed_at_risk_ci_low,missed_at_risk_ci_high,window_miss_rate_mean,window_miss_rate_ci_low,window_miss_rate_ci_high,selected_customers_mean,selected_customers_ci_low,selected_customers_ci_high,partial_reopt_optimization_call_ratio_mean,partial_reopt_optimization_call_ratio_ci_low,partial_reopt_optimization_call_ratio_ci_high,partial_reopt_regret_recovery_ratio_mean,partial_reopt_regret_recovery_ratio_ci_low,partial_reopt_regret_recovery_ratio_ci_high,partial_reopt_full_refresh_value_ratio_mean,partial_reopt_full_refresh_value_ratio_ci_low,partial_reopt_full_refresh_value_ratio_ci_high,partial_reopt_target_overlap_mean,partial_reopt_target_overlap_ci_low,partial_reopt_target_overlap_ci_high,partial_reopt_missed_at_risk_mean,partial_reopt_missed_at_risk_ci_low,partial_reopt_missed_at_risk_ci_high,partial_reopt_window_miss_rate_mean,partial_reopt_window_miss_rate_ci_low,partial_reopt_window_miss_rate_ci_high,partial_reopt_relative_loss_mean,partial_reopt_relative_loss_ci_low,partial_reopt_relative_loss_ci_high,partial_reopt_target_overlap_recovery_mean,partial_reopt_target_overlap_recovery_ci_low,partial_reopt_target_overlap_recovery_ci_high,partial_reopt_missed_at_risk_recovery_mean,partial_reopt_missed_at_risk_recovery_ci_low,partial_reopt_missed_at_risk_recovery_ci_high,partial_reopt_window_miss_rate_recovery_mean,partial_reopt_window_miss_rate_recovery_ci_low,partial_reopt_window_miss_rate_recovery_ci_high,random_refresh_full_refresh_value_ratio_mean,random_refresh_full_refresh_value_ratio_ci_low,random_refresh_full_refresh_value_ratio_ci_high,random_refresh_target_overlap_mean,random_refresh_target_overlap_ci_low,random_refresh_target_overlap_ci_high,random_refresh_missed_at_risk_mean,random_refresh_missed_at_risk_ci_low,random_refresh_missed_at_risk_ci_high,random_refresh_window_miss_rate_mean,random_refresh_window_miss_rate_ci_low,random_refresh_window_miss_rate_ci_high,random_refresh_relative_loss_mean,random_refresh_relative_loss_ci_low,random_refresh_relative_loss_ci_high,random_refresh_target_overlap_recovery_mean,random_refresh_target_overlap_recovery_ci_low,random_refresh_target_overlap_recovery_ci_high,random_refresh_missed_at_risk_recovery_mean,random_refresh_missed_at_risk_recovery_ci_low,random_refresh_missed_at_risk_recovery_ci_high,random_refresh_window_miss_rate_recovery_mean,random_refresh_window_miss_rate_recovery_ci_low,random_refresh_window_miss_rate_recovery_ci_high,top_risk_refresh_full_refresh_value_ratio_mean,top_risk_refresh_full_refresh_value_ratio_ci_low,top_risk_refresh_full_refresh_value_ratio_ci_high,top_risk_refresh_target_overlap_mean,top_risk_refresh_target_overlap_ci_low,top_risk_refresh_target_overlap_ci_high,top_risk_refresh_missed_at_risk_mean,top_risk_refresh_missed_at_risk_ci_low,top_risk_refresh_missed_at_risk_ci_high,top_risk_refresh_window_miss_rate_mean,top_risk_refresh_window_miss_rate_ci_low,top_risk_refresh_window_miss_rate_ci_high,top_risk_refresh_relative_loss_mean,top_risk_refresh_relative_loss_ci_low,top_risk_refresh_relative_loss_ci_high,top_risk_refresh_target_overlap_recovery_mean,top_risk_refresh_target_overlap_recovery_ci_low,top_risk_refresh_target_overlap_recovery_ci_high,top_risk_refresh_missed_at_risk_recovery_mean,top_risk_refresh_missed_at_risk_recovery_ci_low,top_risk_refresh_missed_at_risk_recovery_ci_high,top_risk_refresh_window_miss_rate_recovery_mean,top_risk_refresh_window_miss_rate_recovery_ci_low,top_risk_refresh_window_miss_rate_recovery_ci_high,top_value_refresh_full_refresh_value_ratio_mean,top_value_refresh_full_refresh_value_ratio_ci_low,top_value_refresh_full_refresh_value_ratio_ci_high,top_value_refresh_target_overlap_mean,top_value_refresh_target_overlap_ci_low,top_value_refresh_target_overlap_ci_high,top_value_refresh_missed_at_risk_mean,top_value_refresh_missed_at_risk_ci_low,top_value_refresh_missed_at_risk_ci_high,top_value_refresh_window_miss_rate_mean,top_value_refresh_window_miss_rate_ci_low,top_value_refresh_window_miss_rate_ci_high,top_value_refresh_relative_loss_mean,top_value_refresh_relative_loss_ci_low,top_value_refresh_relative_loss_ci_high,top_value_refresh_target_overlap_recovery_mean,top_value_refresh_target_overlap_recovery_ci_low,top_value_refresh_target_overlap_recovery_ci_high,top_value_refresh_missed_at_risk_recovery_mean,top_value_refresh_missed_at_risk_recovery_ci_low,top_value_refresh_missed_at_risk_recovery_ci_high,top_value_refresh_window_miss_rate_recovery_mean,top_value_refresh_window_miss_rate_recovery_ci_low,top_value_refresh_window_miss_rate_recovery_ci_high
complaint-heavy,220000,base-stale,0,48,611043.72368,565925.520002,650202.205465,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.854167,36.873958,38.959375,0.03299,0.031066,0.035283,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,220000,base-stale,1,48,614724.380885,574741.038833,657577.195061,-3680.657206,-9228.911539,1523.566028,-0.006568,-0.014689,0.001511,0.901421,0.889444,0.914205,0.185176,0.131091,0.246031,0.0,0.0,0.0,37.9375,37.030729,38.834375,0.054618,0.052095,0.057199,-0.310965,-0.685329,0.05298,1.001257,0.993228,1.010115,0.909466,0.898715,0.918641,0.129971,0.089675,0.185112,0.001191,0.0,0.002979,-0.001257,-0.009205,0.006855,0.049156,-0.02567,0.113411,0.173958,0.097778,0.262187,0.0,0.0,0.0,1.0073,1.000186,1.016113,0.904113,0.890589,0.91636,0.175156,0.123528,0.242334,0.0,0.0,0.0,-0.0073,-0.015339,0.000588,0.030704,-0.002741,0.077249,0.046875,0.006944,0.104166,0.0,0.0,0.0,1.006396,0.998276,1.013636,0.915615,0.905391,0.925405,0.14988,0.101115,0.219465,0.001285,0.0,0.003301,-0.006396,-0.014065,0.002217,0.126091,0.064805,0.193862,0.179167,0.105156,0.261476,0.0,0.0,0.0,1.00553,1.000172,1.011954,0.934074,0.918895,0.946454,0.169969,0.128718,0.213082,0.0,0.0,0.0,-0.00553,-0.011912,-0.000501,0.306201,0.192976,0.414565,0.005556,-0.086215,0.095625,0.0,0.0,0.0
complaint-heavy,220000,base-stale,3,48,616265.948749,573975.362286,658960.53066,-5222.22507,-11790.89189,673.524775,-0.009871,-0.020156,-4.5e-05,0.852054,0.83408,0.868202,0.326486,0.258929,0.408139,0.000595,0.0,0.001786,38.041667,36.989062,39.281771,0.072995,0.070341,0.076402,-1.433682,-2.414481,-0.732324,0.995554,0.986747,1.004774,0.894539,0.879622,0.907383,0.147859,0.106191,0.204802,0.002787,0.000563,0.005123,0.004446,-0.004003,0.013303,0.249665,0.174936,0.315724,0.470189,0.365838,0.570312,0.001126,0.0,0.003378,1.010172,0.999803,1.020098,0.859896,0.843613,0.875435,0.305754,0.243518,0.368907,0.000595,0.0,0.001786,-0.010172,-0.020019,-0.000815,0.053135,0.015095,0.090336,0.047016,-0.015027,0.109058,0.0,0.0,0.0,1.010131,0.999966,1.018235,0.909058,0.896167,0.922563,0.16853,0.119278,0.232232,0.002308,0.000579,0.004564,-0.010131,-0.018846,-0.001756,0.350619,0.277105,0.424352,0.44055,0.337022,0.539939,0.020833,0.0,0.0625,1.008403,1.001038,1.015659,0.891455,0.87164,0.909908,0.30094,0.242164,0.364154,0.000595,0.0,0.001786,-0.008403,-0.015632,-0.001818,0.296989,0.220098,0.388898,0.047189,-0.009776,0.11512,0.0,0.0,0.0
complaint-heavy,220000,base-stale,7,48,620547.63757,587429.613287,662483.879384,-9503.91389,-17386.592607,-1527.411923,-0.019309,-0.032029,-0.004572,0.811225,0.784833,0.831427,0.431593,0.365843,0.521148,0.001251,0.0,0.003615,37.375,36.176562,38.656771,0.100367,0.096632,0.104481,-1.733718,-2.678962,-1.100185,0.986445,0.978578,0.996037,0.898489,0.887456,0.909514,0.109532,0.070582,0.161663,0.004992,0.002156,0.009055,0.013555,0.00386,0.023108,0.398271,0.327751,0.471786,0.623488,0.527083,0.715055,0.002893,0.0,0.011573,1.015762,1.003333,1.027213,0.828268,0.804828,0.848363,0.39627,0.326043,0.475219,0.001863,0.0,0.003786,-0.015762,-0.028742,-0.004462,0.092382,0.050338,0.141279,0.05304,-0.012872,0.107936,0.0,0.0,0.0,1.003113,0.994909,1.012338,0.919436,0.906155,0.932131,0.119667,0.069849,0.190809,0.004534,0.001628,0.008257,-0.003113,-0.012004,0.005312,0.514576,0.410109,0.606013,0.65807,0.543088,0.767576,0.023727,0.0,0.083333,1.017122,1.006792,1.027938,0.845519,0.821179,0.872053,0.406267,0.337124,0.465259,0.001251,0.0,0.003129,-0.017122,-0.026543,-0.006946,0.206586,0.13485,0.283707,-0.010176,-0.109206,0.073529,0.0,0.0,0.0
complaint-heavy,220000,full-refresh,0,48,611043.72368,568067.877736,652998.776578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,37.854167,36.8125,38.979167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
complaint-heavy,220000,stronger-but-stale,3,48,606852.933342,565679.070606,655269.818271,4190.790338,-3579.098987,11117.624661,0.010299,-0.002786,0.024701,0.791718,0.768981,0.813837,0.3899,0.328204,0.45904,0.00324,0.000773,0.006118,39.645833,38.696354,40.646875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,220000,weaker-but-fresh,0,48,642208.103249,603432.790338,683332.852221,-31164.37957,-38394.456331,-23402.740461,-0.05576,-0.067897,-0.042855,0.694877,0.661673,0.724937,0.826969,0.754414,0.89005,0.0,0.0,0.0,35.208333,33.935417,36.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,390000,base-stale,0,48,912127.408586,849834.511698,968905.554416,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,68.208333,66.634896,70.126042,0.03299,0.031003,0.035578,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
complaint-heavy,390000,base-stale,1,48,916061.937681,862732.925956,982014.635991,-3934.529095,-8244.104144,762.345714,-0.004019,-0.008473,0.001485,0.886217,0.877546,0.896283,0.217344,0.179315,0.254112,0.0,0.0,0.0,67.958333,66.1875,69.699479,0.054618,0.052006,0.057417,-2.631316,-6.423472,-0.388996,0.996814,0.992414,1.001729,0.901825,0.893236,0.909778,0.1436,0.107302,0.177669,0.000656,0.0,0.001643,0.003186,-0.001638,0.008092,0.121746,0.086884,0.170603,0.312607,0.237252,0.391416,0.0,0.0,0.0,1.004863,1.000662,1.009823,0.891595,0.881613,0.899209,0.200091,0.167974,0.240947,0.0,0.0,0.0,-0.004863,-0.009871,0.000292,0.039662,0.019266,0.068862,0.064062,0.015165,0.130822,0.0,0.0,0.0,1.007883,1.00393,1.012533,0.892698,0.882942,0.902765,0.230004,0.183722,0.288686,0.000661,0.0,0.001653,-0.007883,-0.012312,-0.003297,0.067745,0.033137,0.109872,0.038947,0.013092,0.074615,0.0,0.0,0.0,1.004812,1.000762,1.008675,0.927202,0.917866,0.93555,0.206587,0.17083,0.247448,0.0,0.0,0.0,-0.004812,-0.00921,-0.001074,0.343975,0.277708,0.419644,0.02109,-0.026695,0.076872,0.0,0.0,0.0
complaint-heavy,390000,base-stale,3,48,918367.959655,863906.244344,982343.926065,-6240.551069,-11621.389569,-1401.267557,-0.00708,-0.01308,-0.000765,0.845075,0.833332,0.856771,0.318962,0.267319,0.372178,0.000298,0.0,0.001049,68.333333,66.425521,70.120312,0.072995,0.070363,0.076506,-1.492286,-2.355229,-0.869505,0.991238,0.985967,0.996755,0.888309,0.879902,0.897105,0.156351,0.122203,0.200091,0.001564,0.000448,0.002837,0.008762,0.003193,0.014123,0.256913,0.207745,0.305034,0.517759,0.448978,0.594101,0.000579,0.0,0.001737,1.005662,0.999566,1.012293,0.852403,0.841929,0.865251,0.305833,0.258784,0.359734,0.000298,0.0,0.000893,-0.005662,-0.01233,0.000192,0.053505,0.021427,0.083971,0.037684,0.012882,0.065614,0.0,0.0,0.0,1.011175,1.004902,1.016733,0.873327,0.864109,0.882974,0.242473,0.204363,0.286018,0.001308,0.000323,0.002638,-0.011175,-0.017445,-0.005465,0.17425,0.13744,0.217635,0.216456,0.160612,0.273056,0.020833,0.0,0.0625,1.009897,1.005068,1.014472,0.890143,0.878919,0.904092,0.314524,0.270783,0.357632,0.000298,0.0,0.000893,-0.009897,-0.014451,-0.004762,0.304856,0.24804,0.376094,-0.002704,-0.040203,0.03177,0.0,0.0,0.0
