scenario_family,budget_M,policy_kind,latency_days,block_count,policy_value_M,policy_value_±M,stale_regret_M,stale_regret_±M,relative_loss_%,relative_loss_±%,target_overlap_%,missed_at_risk_%,window_miss_%,selected_customers,reopt_call_ratio_%,regret_recovery_%,full_refresh_value_ratio
complaint-heavy,2.64,base-stale,0,48,69.87,2.97,0.0,0.0,0.0,0.0,100.0,0.0,0.0,247.8,1.32,0.0,1.0
complaint-heavy,2.64,base-stale,1,48,70.54,2.8,-0.67,0.44,-1.18,0.65,89.95,13.18,0.53,242.9,5.33,-237.22,0.995
complaint-heavy,2.64,base-stale,3,48,70.54,3.02,-0.67,0.4,-1.13,0.63,89.51,13.91,0.63,242.9,5.41,-202.36,0.9949
complaint-heavy,2.64,base-stale,7,48,70.41,2.87,-0.54,0.41,-0.96,0.62,88.53,15.29,2.21,243.5,5.45,-147.6,0.9913
complaint-heavy,2.64,full-refresh,0,48,69.87,3.11,0.0,0.0,0.0,0.0,100.0,0.0,0.0,247.8,100.0,100.0,1.0
complaint-heavy,2.64,stronger-but-stale,3,48,73.55,3.53,-3.68,0.62,-5.05,0.83,77.61,33.62,2.053,229.2,0.0,0.0,0.0
complaint-heavy,2.64,weaker-but-fresh,0,48,30.45,1.81,39.42,3.77,55.1,3.63,70.08,7.66,0.0,466.3,0.0,0.0,0.0
complaint-heavy,7.25,base-stale,0,48,137.56,7.25,0.0,0.0,0.0,0.0,100.0,0.0,0.0,765.9,1.32,0.0,1.0
complaint-heavy,7.25,base-stale,1,48,138.55,7.6,-0.98,0.28,-0.76,0.18,87.08,18.15,0.169,745.6,5.33,-302.23,0.9962
complaint-heavy,7.25,base-stale,3,48,138.49,7.82,-0.93,0.27,-0.68,0.18,86.92,18.31,0.202,748.9,5.41,-261.78,0.9946
complaint-heavy,7.25,base-stale,7,48,138.21,7.92,-0.65,0.33,-0.45,0.21,86.56,18.7,0.698,756.3,5.45,-537.73,0.9925
complaint-heavy,7.25,full-refresh,0,48,137.56,7.84,0.0,0.0,0.0,0.0,100.0,0.0,0.0,765.9,100.0,100.0,1.0
complaint-heavy,7.25,stronger-but-stale,3,48,143.6,8.6,-6.04,1.1,-4.07,0.61,76.95,35.44,0.674,694.6,0.0,0.0,0.0
complaint-heavy,7.25,weaker-but-fresh,0,48,84.35,2.83,53.21,6.16,36.95,2.56,73.88,1.98,0.0,1267.4,0.0,0.0,0.0
complaint-heavy,11.53,base-stale,0,48,172.93,12.46,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1411.9,1.32,0.0,1.0
complaint-heavy,11.53,base-stale,1,48,173.86,12.34,-0.93,0.29,-0.52,0.15,86.49,17.7,0.089,1389.5,5.33,-166.66,0.9995
complaint-heavy,11.53,base-stale,3,48,173.57,11.59,-0.64,0.31,-0.31,0.16,86.13,18.04,0.105,1399.0,5.41,-702.12,0.9971
complaint-heavy,11.53,base-stale,7,48,172.99,12.78,-0.07,0.32,0.09,0.21,85.47,18.29,0.362,1419.7,5.45,-337.58,0.9933
complaint-heavy,11.53,full-refresh,0,48,172.93,12.23,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1411.9,100.0,100.0,1.0
complaint-heavy,11.53,stronger-but-stale,3,48,177.41,12.61,-4.48,1.06,-2.21,0.47,80.08,28.76,0.345,1347.8,0.0,0.0,0.0
complaint-heavy,11.53,weaker-but-fresh,0,48,131.13,4.92,41.8,6.37,21.54,3.04,78.72,1.13,0.0,1984.3,0.0,0.0,0.0
dormancy-heavy,2.64,base-stale,0,48,75.33,3.12,0.0,0.0,0.0,0.0,100.0,0.0,0.0,253.3,1.5,0.0,1.0
